EC:1.1.1.1	Alcohol dehydrogenase
EC:1.1.1.41	Isocitrate dehydrogenase (NAD(+))
EC:1.1.1.42	Isocitrate dehydrogenase (NADP(+))
EC:1.1.1.43	Phosphogluconate 2-dehydrogenase
EC:1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)
EC:1.1.1.45	L-gulonate 3-dehydrogenase
EC:1.1.1.47	Glucose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.48	D-galactose 1-dehydrogenase
EC:1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+))
EC:1.1.1.51	3(or 17)-beta-hydroxysteroid dehydrogenase
EC:1.1.1.53	3-alpha(or 20-beta)-hydroxysteroid dehydrogenase
EC:1.1.1.56	Ribitol 2-dehydrogenase
EC:1.1.1.57	Fructuronate reductase
EC:1.1.1.58	Tagaturonate reductase
EC:1.1.1.6	Glycerol dehydrogenase
EC:1.1.1.60	2-hydroxy-3-oxopropionate reductase
EC:1.1.1.61	4-hydroxybutyrate dehydrogenase
EC:1.1.1.62	17-beta-estradiol 17-dehydrogenase
EC:1.1.1.64	Testosterone 17-beta-dehydrogenase (NADP(+))
EC:1.1.1.65	Pyridoxine 4-dehydrogenase
EC:1.1.1.67	Mannitol 2-dehydrogenase
EC:1.1.1.69	Gluconate 5-dehydrogenase
EC:1.1.1.76	(S,S)-butanediol dehydrogenase
EC:1.1.1.77	Lactaldehyde reductase
EC:1.1.1.79	Glyoxylate reductase (NADP(+))
EC:1.1.1.8	Glycerol-3-phosphate dehydrogenase (NAD(+))
EC:1.1.1.81	Hydroxypyruvate reductase
EC:1.1.1.82	Malate dehydrogenase (NADP(+))
EC:1.1.1.83	D-malate dehydrogenase (decarboxylating)
EC:1.1.1.85	3-isopropylmalate dehydrogenase
EC:1.1.1.86	Ketol-acid reductoisomerase (NADP(+))
EC:1.1.1.87	Homoisocitrate dehydrogenase
EC:1.1.1.88	Hydroxymethylglutaryl-CoA reductase
EC:1.1.1.9	D-xylulose reductase
EC:1.1.1.90	Aryl-alcohol dehydrogenase
EC:1.1.1.91	Aryl-alcohol dehydrogenase (NADP(+))
EC:1.1.1.93	Tartrate dehydrogenase
EC:1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.95	Phosphoglycerate dehydrogenase
EC:1.1.2.3	L-lactate dehydrogenase (cytochrome)
EC:1.1.2.4	D-lactate dehydrogenase (cytochrome)
EC:1.1.2.6	Polyvinyl alcohol dehydrogenase (cytochrome)
EC:1.1.2.7	Methanol dehydrogenase (cytochrome c)
EC:1.1.2.8	Alcohol dehydrogenase (cytochrome c)
EC:1.1.3.12	Pyridoxine 4-oxidase
EC:1.1.3.15	(S)-2-hydroxy-acid oxidase
EC:1.1.3.17	Choline oxidase
EC:1.1.3.20	Long-chain-alcohol oxidase
EC:1.1.3.21	Glycerol-3-phosphate oxidase
EC:1.1.3.37	D-arabinono-1,4-lactone oxidase
EC:1.1.3.41	Alditol oxidase
EC:1.1.3.43	Paromamine 6'-oxidase
EC:1.1.3.44	6'''-hydroxyneomycin C oxidase
EC:1.1.3.45	Aclacinomycin-N oxidase
EC:1.1.3.46	4-hydroxymandelate oxidase
EC:1.1.3.47	5-(hydroxymethyl)furfural oxidase
EC:1.1.3.48	3-deoxy-alpha-D-manno-octulosonate 8-oxidase
EC:1.1.3.6	Cholesterol oxidase
EC:1.1.3.8	L-gulonolactone oxidase
EC:1.1.3.9	Galactose oxidase
EC:1.1.5.2	Quinoprotein glucose dehydrogenase (PQQ, quinone)
EC:1.1.5.3	Glycerol-3-phosphate dehydrogenase
EC:1.1.5.4	Malate dehydrogenase (quinone)
EC:1.1.5.6	Formate dehydrogenase-N
EC:1.1.5.8	Quinate dehydrogenase (quinone)
EC:1.1.5.9	Glucose 1-dehydrogenase (FAD, quinone)
EC:1.1.9.1	Alcohol dehydrogenase (azurin)
EC:1.1.98.2	Glucose-6-phosphate dehydrogenase (coenzyme-F420)
EC:1.1.98.3	Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase
EC:1.1.99.1	Choline dehydrogenase
EC:1.1.99.18	Cellobiose dehydrogenase (acceptor)
EC:1.1.99.2	L-2-hydroxyglutarate dehydrogenase
EC:1.1.99.21	D-sorbitol dehydrogenase (acceptor)
EC:1.1.99.24	Hydroxyacid-oxoacid transhydrogenase
EC:1.1.99.28	Glucose-fructose oxidoreductase
EC:1.1.99.3	Gluconate 2-dehydrogenase (acceptor)
EC:1.1.99.31	(S)-mandelate dehydrogenase
EC:1.1.99.38	2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent)
EC:1.1.99.39	D-2-hydroxyglutarate dehydrogenase
EC:1.10.2.2	Quinol--cytochrome-c reductase
EC:1.10.3.1	Catechol oxidase
EC:1.10.3.11	Ubiquinol oxidase (non-electrogenic)
EC:1.10.3.12	Menaquinol oxidase (H(+)-transporting)
EC:1.10.3.2	Laccase
EC:1.10.3.3	L-ascorbate oxidase
EC:1.10.5.1	Ribosyldihydronicotinamide dehydrogenase (quinone)
EC:1.10.9.1	Plastoquinol--plastocyanin reductase
EC:1.11.1.1	NADH peroxidase
EC:1.11.1.10	Chloride peroxidase
EC:1.11.1.11	L-ascorbate peroxidase
EC:1.11.1.12	Phospholipid-hydroperoxide glutathione peroxidase
EC:1.11.1.15	Peroxiredoxin
EC:1.11.1.19	Dye decolorizing peroxidase
EC:1.11.1.20	Prostamide/prostaglandin F(2-alpha) synthase
EC:1.11.1.21	Catalase peroxidase
EC:1.11.1.23	(S)-2-hydroxypropylphosphonic acid epoxidase
EC:1.11.1.5	Cytochrome-c peroxidase
EC:1.11.1.6	Catalase
EC:1.11.1.7	Peroxidase
EC:1.11.1.9	Glutathione peroxidase
EC:1.11.2.3	Plant seed peroxygenase
EC:1.11.2.4	Fatty-acid peroxygenase
EC:1.12.1.2	Hydrogen dehydrogenase
EC:1.12.1.3	Hydrogen dehydrogenase (NADP(+))
EC:1.12.1.4	Hydrogenase (NAD(+), ferredoxin)
EC:1.12.1.5	Hydrogen dehydrogenase (NAD(P)(+))
EC:1.12.2.1	Cytochrome-c3 hydrogenase
EC:1.12.5.1	Hydrogen:quinone oxidoreductase
EC:1.12.7.2	Ferredoxin hydrogenase
EC:1.12.98.1	Coenzyme F420 hydrogenase
EC:1.12.98.2	5,10-methenyltetrahydromethanopterin hydrogenase
EC:1.12.98.4	Sulfhydrogenase
EC:1.12.99.6	Hydrogenase (acceptor)
EC:1.13.11.1	Catechol 1,2-dioxygenase
EC:1.13.11.11	Tryptophan 2,3-dioxygenase
EC:1.13.11.12	Linoleate 13S-lipoxygenase
EC:1.13.11.14	2,3-dihydroxybenzoate 3,4-dioxygenase
EC:1.13.11.15	3,4-dihydroxyphenylacetate 2,3-dioxygenase
EC:1.13.11.16	3-carboxyethylcatechol 2,3-dioxygenase
EC:1.13.11.18	Persulfide dioxygenase
EC:1.13.11.19	Cysteamine dioxygenase
EC:1.13.11.2	Catechol 2,3-dioxygenase
EC:1.13.11.20	Cysteine dioxygenase
EC:1.13.11.24	Quercetin 2,3-dioxygenase
EC:1.13.11.25	dioxygenase
EC:1.13.11.27	4-hydroxyphenylpyruvate dioxygenase
EC:1.13.11.3	Protocatechuate 3,4-dioxygenase
EC:1.13.11.33	Arachidonate 15-lipoxygenase
EC:1.13.11.34	Arachidonate 5-lipoxygenase
EC:1.13.11.37	Hydroxyquinol 1,2-dioxygenase
EC:1.13.11.38	1-hydroxy-2-naphthoate 1,2-dioxygenase
EC:1.13.11.39	Biphenyl-2,3-diol 1,2-dioxygenase
EC:1.13.11.4	Gentisate 1,2-dioxygenase
EC:1.13.11.41	2,4'-dihydroxyacetophenone dioxygenase
EC:1.13.11.46	4-hydroxymandelate synthase
EC:1.13.11.49	Chlorite O(2)-lyase
EC:1.13.11.5	Homogentisate 1,2-dioxygenase
EC:1.13.11.51	9-cis-epoxycarotenoid dioxygenase
EC:1.13.11.52	Indoleamine 2,3-dioxygenase
EC:1.13.11.53	Acireductone dioxygenase (Ni(2+)-requiring)
EC:1.13.11.54	Acireductone dioxygenase (Fe(2+)-requiring)
EC:1.13.11.55	Sulfur oxygenase/reductase
EC:1.13.11.56	1,2-dihydroxynaphthalene dioxygenase
EC:1.13.11.57	Gallate dioxygenase
EC:1.13.11.58	Linoleate 9S-lipoxygenase
EC:1.13.11.59	Torulene dioxygenase
EC:1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase
EC:1.13.11.61	Linolenate 9R-lipoxygenase
EC:1.13.11.63	Beta-carotene 15,15'-dioxygenase
EC:1.13.11.65	Carotenoid isomerooxygenase
EC:1.13.11.66	Hydroquinone 1,2-dioxygenase
EC:1.13.11.68	9-cis-beta-carotene 9',10'-cleaving dioxygenase
EC:1.13.11.69	Carlactone synthase
EC:1.13.11.70	All-trans-10'-apo-beta-carotenal 13,14-cleaving dioxygenase
EC:1.13.11.71	Carotenoid-9',10'-cleaving dioxygenase
EC:1.13.11.72	2-hydroxyethylphosphonate dioxygenase
EC:1.13.11.73	Methylphosphonate synthase
EC:1.13.11.74	2-aminophenol 1,6-dioxygenase
EC:1.13.11.75	All-trans-8'-apo-beta-carotenal 15,15'-oxygenase
EC:1.13.11.76	2-amino-5-chlorophenol 1,6-dioxygenase
EC:1.13.11.79	5,6-dimethylbenzimidazole synthase
EC:1.13.11.8	Protocatechuate 4,5-dioxygenase
EC:1.13.11.80	(3,5-dihydroxyphenyl)acetyl-CoA 1,2-dioxygenase
EC:1.13.11.9	2,5-dihydroxypyridine 5,6-dioxygenase
EC:1.13.12.16	Nitronate monooxygenase
EC:1.13.12.21	Tetracenomycin-F1 monooxygenase
EC:1.13.12.22	Deoxynogalonate monooxygenase
EC:1.13.12.3	Tryptophan 2-monooxygenase
EC:1.13.12.4	Lactate 2-monooxygenase
EC:1.13.99.1	Inositol oxygenase
EC:1.14.11.1	Gamma-butyrobetaine dioxygenase
EC:1.14.11.12	Gibberellin-44 dioxygenase
EC:1.14.11.13	Gibberellin 2-beta-dioxygenase
EC:1.14.11.15	Gibberellin 3-beta-dioxygenase
EC:1.14.11.16	Peptide-aspartate beta-dioxygenase
EC:1.14.11.17	Taurine dioxygenase
EC:1.14.11.18	Phytanoyl-CoA dioxygenase
EC:1.14.11.19	Leucocyanidin oxygenase
EC:1.14.11.2	Procollagen-proline dioxygenase
EC:1.14.11.21	Clavaminate synthase
EC:1.14.11.23	Flavonol synthase
EC:1.14.11.26	Deacetoxycephalosporin-C hydroxylase
EC:1.14.11.27	[Histone H3]-lysine-36 demethylase
EC:1.14.11.29	Hypoxia-inducible factor-proline dioxygenase
EC:1.14.11.30	Hypoxia-inducible factor-asparagine dioxygenase
EC:1.14.11.33	DNA oxidative demethylase
EC:1.14.11.35	1-deoxypentalenic acid 11-beta-hydroxylase
EC:1.14.11.36	Pentalenolactone F synthase
EC:1.14.11.39	L-asparagine oxygenase
EC:1.14.11.4	Procollagen-lysine 5-dioxygenase
EC:1.14.11.42	tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase
EC:1.14.11.47	50S ribosomal protein L16 3-hydroxylase
EC:1.14.11.8	Trimethyllysine dioxygenase
EC:1.14.11.9	Flavanone 3-dioxygenase
EC:1.14.12.1	Anthranilate 1,2-dioxygenase (deaminating, decarboxylating)
EC:1.14.12.10	Benzoate 1,2-dioxygenase
EC:1.14.12.11	Toluene dioxygenase
EC:1.14.12.12	Naphthalene 1,2-dioxygenase
EC:1.14.12.13	2-halobenzoate 1,2-dioxygenase
EC:1.14.12.14	2-aminobenzenesulfonate 2,3-dioxygenase
EC:1.14.12.15	Terephthalate 1,2-dioxygenase
EC:1.14.12.17	Nitric oxide dioxygenase
EC:1.14.12.18	Biphenyl 2,3-dioxygenase
EC:1.14.12.19	3-phenylpropanoate dioxygenase
EC:1.14.12.20	Pheophorbide a oxygenase
EC:1.14.12.22	Carbazole 1,9a-dioxygenase
EC:1.14.12.3	Benzene 1,2-dioxygenase
EC:1.14.12.4	3-hydroxy-2-methylpyridinecarboxylate dioxygenase
EC:1.14.12.7	Phthalate 4,5-dioxygenase
EC:1.14.13.1	Salicylate 1-monooxygenase
EC:1.14.13.10	2,6-dihydroxypyridine 3-monooxygenase
EC:1.14.13.100	25/26-hydroxycholesterol 7-alpha-hydroxylase
EC:1.14.13.106	Epi-isozizaene 5-monooxygenase
EC:1.14.13.107	Limonene 1,2-monooxygenase
EC:1.14.13.11	Trans-cinnamate 4-monooxygenase
EC:1.14.13.111	Methanesulfonate monooxygenase
EC:1.14.13.112	3-epi-6-deoxocathasterone 23-monooxygenase
EC:1.14.13.113	FAD-dependent urate hydroxylase
EC:1.14.13.114	6-hydroxynicotinate 3-monooxygenase
EC:1.14.13.12	Benzoate 4-monooxygenase
EC:1.14.13.122	Chlorophyllide-a oxygenase
EC:1.14.13.124	Phenylalanine N-monooxygenase
EC:1.14.13.127	3-(3-hydroxy-phenyl)propanoic acid hydroxylase
EC:1.14.13.129	Beta-carotene 3-hydroxylase
EC:1.14.13.131	Dimethyl-sulfide monooxygenase
EC:1.14.13.133	Pentalenene oxygenase
EC:1.14.13.141	Cholest-4-en-3-one 26-monooxygenase
EC:1.14.13.142	3-ketosteroid 9-alpha-monooxygenase
EC:1.14.13.148	Trimethylamine monooxygenase
EC:1.14.13.149	Phenylacetyl-CoA 1,2-epoxidase
EC:1.14.13.151	Linalool 8-monooxygenase
EC:1.14.13.154	Erythromycin 12 hydroxylase
EC:1.14.13.159	Vitamin D 25-hydroxylase
EC:1.14.13.163	6-hydroxy-3-succinoylpyridine 3-monooxygenase
EC:1.14.13.165	Nitric-oxide synthase (NAD(P)H)
EC:1.14.13.168	Indole-3-pyruvate monooxygenase
EC:1.14.13.17	Cholesterol 7-alpha-monooxygenase
EC:1.14.13.170	Pentalenolactone D synthase
EC:1.14.13.171	Neopentalenolactone D synthase
EC:1.14.13.172	Salicylate 5-hydroxylase
EC:1.14.13.180	Aklavinone 12-hydroxylase
EC:1.14.13.181	13-deoxydaunorubicin hydroxylase
EC:1.14.13.182	2-heptyl-3-hydroxy-4(1H)-quinolone synthase
EC:1.14.13.185	Pikromycin synthase
EC:1.14.13.186	20-oxo-5-O-mycaminosyltylactone 23-monooxygenase
EC:1.14.13.188	6-deoxyerythronolide B hydroxylase
EC:1.14.13.2	4-hydroxybenzoate 3-monooxygenase
EC:1.14.13.20	2,4-dichlorophenol 6-monooxygenase
EC:1.14.13.200	Tetracenomycin A2 monooxygenase-diooxygenase
EC:1.14.13.202	Methyl farnesoate epoxidase
EC:1.14.13.203	Farnesoate epoxidase
EC:1.14.13.21	Flavonoid 3'-monooxygenase
EC:1.14.13.22	Cyclohexanone monooxygenase
EC:1.14.13.23	3-hydroxybenzoate 4-monooxygenase
EC:1.14.13.25	Methane monooxygenase (soluble)
EC:1.14.13.36	5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase
EC:1.14.13.38	Anhydrotetracycline monooxygenase
EC:1.14.13.39	Nitric-oxide synthase (NADPH)
EC:1.14.13.40	Anthraniloyl-CoA monooxygenase
EC:1.14.13.48	(S)-limonene 6-monooxygenase
EC:1.14.13.49	(S)-limonene 7-monooxygenase
EC:1.14.13.50	Pentachlorophenol monooxygenase
EC:1.14.13.59	L-lysine N(6)-monooxygenase (NADPH)
EC:1.14.13.7	Phenol 2-monooxygenase
EC:1.14.13.70	Sterol 14-alpha-demethylase
EC:1.14.13.72	Methylsterol monooxygenase
EC:1.14.13.78	Ent-kaurene oxidase
EC:1.14.13.79	Ent-kaurenoic acid oxidase
EC:1.14.13.8	Flavin-containing monooxygenase
EC:1.14.13.81	Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
EC:1.14.13.82	Vanillate monooxygenase
EC:1.14.13.83	Precorrin-3B synthase
EC:1.14.13.84	4-hydroxyacetophenone monooxygenase
EC:1.14.13.88	Flavonoid 3',5'-hydroxylase
EC:1.14.13.9	Kynurenine 3-monooxygenase
EC:1.14.13.90	Zeaxanthin epoxidase
EC:1.14.13.92	Phenylacetone monooxygenase
EC:1.14.13.93	(+)-abscisic acid 8'-hydroxylase
EC:1.14.13.99	24-hydroxycholesterol 7-alpha-hydroxylase
EC:1.14.14.1	Unspecific monooxygenase
EC:1.14.14.11	Styrene monooxygenase
EC:1.14.14.12	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase
EC:1.14.14.13	monooxygenase
EC:1.14.14.3	Alkanal monooxygenase (FMN-linked)
EC:1.14.14.5	Alkanesulfonate monooxygenase
EC:1.14.14.8	Anthranilate 3-monooxygenase (FAD)
EC:1.14.14.9	4-hydroxyphenylacetate 3-monooxygenase
EC:1.14.15.11	Pentalenic acid synthase
EC:1.14.15.12	Pimeloyl-[acyl-carrier protein] synthase
EC:1.14.15.13	Pulcherriminic acid synthase
EC:1.14.15.3	Alkane 1-monooxygenase
EC:1.14.15.7	Choline monooxygenase
EC:1.14.15.9	Spheroidene monooxygenase
EC:1.14.16.1	Phenylalanine 4-monooxygenase
EC:1.14.16.2	Tyrosine 3-monooxygenase
EC:1.14.16.4	Tryptophan 5-monooxygenase
EC:1.14.16.5	Alkylglycerol monooxygenase
