12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I
CODH-PWY	reductive acetyl coenzyme A pathway
COLANSYN-PWY	colanic acid building blocks biosynthesis
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis
CRNFORCAT-PWY	creatinine degradation I
CYANCAT-PWY	cyanate degradation
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation
CYSTEINE-DEG-PWY	L-cysteine degradation I
CYSTSYN-PWY	L-cysteine biosynthesis I
DAPLYSINESYN-PWY	L-lysine biosynthesis I
DARABCATK12-PWY	D-arabinose degradation I
DARABCAT-PWY	D-arabinose degradation II
DARABITOLUTIL-PWY	D-arabitol degradation
DENITRIFICATION-PWY	nitrate reduction I (denitrification)
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II
DESULFONATION-PWY	benzenesulfonate degradation
DETOX1-PWY-1	reactive oxygen species degradation
DETOX1-PWY	superoxide radicals degradation
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)
DISSULFRED-PWY	sulfate reduction IV (dissimilatory)
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I
ECASYN-PWY	enterobacterial common antigen biosynthesis
ENTBACSYN-PWY	enterobactin biosynthesis
ENTNER-DOUDOROFF-PWY	Entner-Doudoroff pathway I
ERGOSTEROL-SYN-PWY	superpathway of ergosterol biosynthesis I
ETHYL-PWY	ethylene biosynthesis I (plants)
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I
FAO-PWY	fatty acid &beta;-oxidation I
FASYN-ELONG-PWY	fatty acid elongation -- saturated
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)
FERMENTATION-PWY	mixed acid fermentation
FESULFOX-PWY	sulfur oxidation II (Fe+3-dependent)
FLUORENE-DEG-9-ONE-PWY	fluorene degradation I
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage
FORMASS-PWY	formaldehyde oxidation IV (thiol-independent)
FUCCAT-PWY	fucose degradation
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation
GALACTARDEG-PWY	D-galactarate degradation I
GALACTCAT-PWY	D-galactonate degradation
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation
GALACTITOLCAT-PWY	galactitol degradation
GALACTUROCAT-PWY	D-galacturonate degradation I
GALDEG-PWY	galactose degradation II
GALLATE-DEGRADATION-II-PWY	gallate degradation I
GALLATE-DEGRADATION-I-PWY	gallate degradation II
GAMMAHEXCHLORDEG-PWY	&gamma;-hexachlorocyclohexane degradation
GDPRHAMSYN-PWY	GDP-D-rhamnose biosynthesis
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation
GLNSYN-PWY	L-glutamine biosynthesis I
GLUAMCAT-PWY	N-acetylglucosamine degradation I
GLUCARDEG-PWY	D-glucarate degradation I
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY	gluconeogenesis I
GLUCONSUPER-PWY	D-gluconate degradation
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)
GLUDEG-I-PWY	GABA shunt
GLUGLNSYN-PWY	L-glutamate biosynthesis IV
GLUTAMATE-DEG1-PWY	L-glutamate degradation I
GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II
GLUTAMINDEG-PWY	L-glutamine degradation I
GLUTAMINEFUM-PWY	L-glutamine degradation II
GLUTATHIONESYN-PWY	glutathione biosynthesis
GLUTDEG-PWY	L-glutamate degradation II
GLUTORN-PWY	L-ornithine biosynthesis
GLUT-REDOX-PWY	glutathione redox reactions II
GLUTSYNIII-PWY	L-glutamate biosynthesis III
GLUTSYN-PWY	L-glutamate biosynthesis I
GLYCEROLMETAB-PWY	glycerol degradation V
GLYCGREAT-PWY	creatine biosynthesis
GLYCINE-SYN2-PWY	glycine biosynthesis II
GLYCLEAV-PWY	glycine cleavage
GLYCOCAT-PWY	glycogen degradation I (bacterial)
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass
GLYOXDEG-PWY	glycolate and glyoxylate degradation II
GLYOXYLATE-BYPASS	glyoxylate cycle
GLYSYN-ALA-PWY	glycine biosynthesis III
GLYSYN-PWY	glycine biosynthesis I
GLYSYN-THR-PWY	glycine biosynthesis IV
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)
HEMESYN2-PWY	heme biosynthesis II (anaerobic)
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)
HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis
HISDEG-PWY	L-histidine degradation I
HISHP-PWY	L-histidine degradation VI
HISTDEG-PWY	L-histidine degradation IV
HISTSYN-PWY	L-histidine biosynthesis
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)
HOMOSER-METSYN-PWY	L-methionine biosynthesis I
HOMOSERSYN-PWY	L-homoserine biosynthesis
HOMOSER-THRESYN-PWY	L-threonine biosynthesis
HSERMETANA-PWY	L-methionine biosynthesis III
HYDROXYPRODEG-PWY	trans-4-hydroxy-L-proline degradation I
IDNCAT-PWY	L-idonate degradation
ILEUDEG-PWY	L-isoleucine degradation I
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)
KDO-LIPASYN-PWY	(Kdo)2-lipid A biosynthesis I
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis
KDOSYN-PWY	Kdo transfer to lipid IVA I
KETOGLUCONMET-PWY	ketogluconate metabolism
LACTOSECAT-PWY	lactose and galactose degradation I
LACTOSEUTIL-PWY	lactose degradation II
LARABITOLUTIL-PWY	xylitol degradation
LCYSDEG-PWY	L-cysteine degradation II
LEU-DEG2-PWY	L-leucine degradation I
LEUSYN-PWY	L-leucine biosynthesis
LIPA-CORESYN-PWY	Lipid A-core biosynthesis
LIPAS-PWY	triacylglycerol degradation
LIPASYN-PWY	phospholipases
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis
LYSDEGII-PWY	L-lysine degradation III
LYSINE-AMINOAD-PWY	L-lysine biosynthesis IV
LYSINE-DEG1-PWY	L-lysine degradation XI (mammalian)
LYXMET-PWY	L-lyxose degradation
MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II
MALTOSECAT-PWY	maltose degradation
MANNCAT-PWY	D-mannose degradation
MANNIDEG-PWY	mannitol degradation I
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein N-glycosylation (eukaryotic, high mannose)
M-CRESOL-DEGRADATION-PWY	m-cresol degradation
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis
METH-ACETATE-PWY	methanogenesis from acetate
METHANOGENESIS-PWY	methanogenesis from H2 and CO2
METHFORM-PWY	methyl-coenzyme M reduction to methane
METHGLYUT-PWY	superpathway of methylglyoxal degradation
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis
MGLDLCTANA-PWY	methylglyoxal degradation VI
N2FIX-PWY	nitrogen fixation I (ferredoxin)
NAD-BIOSYNTHESIS-III	NAD biosynthesis III
NAD-BIOSYNTHESIS-II	NAD salvage pathway II
NADPHOS-DEPHOS-PWY-1	NAD phosphorylation and dephosphorylation II (mammalian)
NADPHOS-DEPHOS-PWY	NAD phosphorylation and dephosphorylation I
NADSYN-PWY	NAD biosynthesis II (from tryptophan)
NAGLIPASYN-PWY	lipid IVA biosynthesis
NONMEVIPP-PWY	methylerythritol phosphate pathway I
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)
NOPALINEDEG-PWY	nopaline degradation
NPGLUCAT-PWY	Entner-Doudoroff pathway II (non-phosphorylative)
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)
OCTOPINEDEG-PWY	octopine degradation
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation
ORNDEG-PWY	superpathway of ornithine degradation
OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch)
P101-PWY	ectoine biosynthesis
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)
P108-PWY	pyruvate fermentation to propanoate I
P121-PWY	adenine and adenosine salvage I
P122-PWY	heterolactic fermentation
P124-PWY	Bifidobacterium shunt
P125-PWY	superpathway of (R,R)-butanediol biosynthesis
P141-PWY	atrazine degradation I (aerobic)
P142-PWY	pyruvate fermentation to acetate I
P161-PWY	acetylene degradation
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)
P163-PWY	L-lysine fermentation to acetate and butanoate
P164-PWY	purine nucleobases degradation I (anaerobic)
P165-PWY	superpathway of purines degradation in plants
P181-PWY	nicotine degradation I (pyridine pathway)
P183-PWY	catechol degradation to 2-oxopent-4-enoate I
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)
P201-PWY	nitroglycerin degradation
P203-PWY	sulfur disproportionation I (anaerobic)
P21-PWY	pentose phosphate pathway (partial)
P221-PWY	octane oxidation
P222-PWY	sulfide oxidation I (sulfide-quinone reductase)
P224-PWY	sulfate reduction V (dissimilatory)
P23-PWY	reductive TCA cycle I
P241-PWY	coenzyme B biosynthesis
P261-PWY	coenzyme M biosynthesis I
P281-PWY	3-phenylpropanoate degradation
P282-PWY	nitrite oxidation
P283-PWY	hydrogen oxidation I (aerobic)
P2-PWY	citrate lyase activation
P301-PWY	galena oxidation
P302-PWY	L-sorbose degradation
P303-PWY	ammonia oxidation II (anaerobic)
P321-PWY	benzoyl-CoA degradation III (anaerobic)
P341-PWY	glycolysis V (Pyrococcus)
P342-PWY	orcinol degradation
P343-PWY	resorcinol degradation
P344-PWY	superpathway of acrylonitrile degradation
P345-PWY	aldoxime degradation
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)
P3-PWY	gallate degradation III (anaerobic)
P401-PWY	cyanide degradation
P41-PWY	pyruvate fermentation to acetate and lactate I
P421-PWY	4-nitrotoluene degradation I
P42-PWY	incomplete reductive TCA cycle
P441-PWY	superpathway of N-acetylneuraminate degradation
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate
P481-PWY	adamantanone degradation
P482-PWY	arsonoacetate degradation
P483-PWY	phosphonoacetate degradation
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I
P541-PWY	glycine betaine biosynthesis IV (from glycine)
P542-PWY	choline-O-sulfate degradation
P561-PWY	L-proline betaine degradation
P562-PWY	myo-inositol degradation I
P581-PWY	thiocyanate degradation I
P601-PWY	(+)-camphor degradation
P621-PWY	nylon-6 oligomer degradation
P641-PWY	phenylmercury acetate degradation
P661-PWY	dibenzo-p-dioxin degradation
P662-PWY	dibenzofuran degradation
PANTO-PWY	phosphopantothenate biosynthesis I
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I
PARATHION-DEGRADATION-PWY	parathion degradation
PCEDEG-PWY	tetrachloroethene degradation
PCPDEG-PWY	pentachlorophenol degradation
PENTOSE-P-PWY	pentose phosphate pathway
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)
PHENOLDEG-PWY	phenol degradation II (anaerobic)
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)
PHESYN	L-phenylalanine biosynthesis I
PHOSLIPSYN2-PWY	superpathway of phospholipid biosynthesis II (plants)
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)
PHOSPHONOTASE-PWY	2-aminoethylphosphonate degradation I
PHOTOALL-PWY	oxygenic photosynthesis
PLPSAL-PWY	pyridoxal 5'-phosphate salvage I
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)
PPGPPMET-PWY	ppGpp biosynthesis
PROPFERM-PWY	L-alanine fermentation to propanoate and acetate
PROPIONMET-PWY	propanoyl CoA degradation I
PROSYN-PWY	L-proline biosynthesis I
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)
PROUT-PWY	L-proline degradation
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis
PUTDEG-PWY	putrescine degradation I
PWY0-1021	L-alanine biosynthesis III
PWY0-1061	superpathway of L-alanine biosynthesis
PWY0-1182	trehalose degradation II (trehalase)
PWY0-1221	putrescine degradation II
PWY0-1241	ADP-L-glycero-&beta;-D-manno-heptose biosynthesis
PWY0-1261	anhydromuropeptides recycling
PWY0-1264	biotin-carboxyl carrier protein assembly
PWY0-1275	lipoate biosynthesis and incorporation II
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
PWY0-1280	ethylene glycol degradation
PWY0-1295	pyrimidine ribonucleosides degradation
PWY0-1296	purine ribonucleosides degradation
PWY0-1297	superpathway of purine deoxyribonucleosides degradation
PWY0-1298	superpathway of pyrimidine deoxyribonucleosides degradation
PWY0-1299	arginine dependent acid resistance
PWY0-1300	2-O-&alpha;-mannosyl-D-glycerate degradation
PWY0-1301	melibiose degradation
PWY0-1303	aminopropylcadaverine biosynthesis
PWY0-1305	glutamate dependent acid resistance
PWY0-1306	L-galactonate degradation
PWY0-1309	chitobiose degradation
PWY0-1312	acetate formation from acetyl-CoA I
PWY0-1313	acetate conversion to acetyl-CoA
PWY0-1314	fructose degradation
PWY0-1315	L-lactaldehyde degradation (anaerobic)
PWY0-1317	L-lactaldehyde degradation (aerobic)
PWY0-1319	CDP-diacylglycerol biosynthesis II
PWY0-1321	nitrate reduction III (dissimilatory)
PWY0-1324	N-acetylneuraminate and N-acetylmannosamine degradation I
PWY0-1325	superpathway of L-asparagine biosynthesis
PWY0-1329	succinate to cytochrome bo oxidase electron transfer
PWY0-1334	NADH to cytochrome bd oxidase electron transfer I
PWY0-1335	NADH to cytochrome bo oxidase electron transfer I
PWY0-1336	NADH to fumarate electron transfer
PWY0-1337	oleate &beta;-oxidation
PWY0-1338	polymyxin resistance
PWY0-1347	NADH to trimethylamine N-oxide electron transfer
PWY0-1348	NADH to dimethyl sulfoxide electron transfer
PWY0-1352	nitrate reduction VIII (dissimilatory)
PWY0-1353	succinate to cytochrome bd oxidase electron transfer
PWY0-1355	formate to trimethylamine N-oxide electron transfer
PWY0-1356	formate to dimethyl sulfoxide electron transfer
PWY0-1391	S-methyl-5'-thioadenosine degradation IV
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III
PWY0-1433	tetrahydromonapterin biosynthesis
PWY0-1465	D-malate degradation
PWY0-1466	trehalose degradation VI (periplasmic)
PWY0-1471	uracil degradation III
PWY0-1477	ethanolamine utilization
PWY0-1479	tRNA processing
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I
PWY0-1517	sedoheptulose bisphosphate bypass
PWY0-1527	curcumin degradation
PWY0-1533	methylphosphonate degradation I
PWY0-1534	hydrogen sulfide biosynthesis I
PWY0-1535	D-serine degradation
PWY0-1544	proline to cytochrome bo oxidase electron transfer
PWY0-1546	muropeptide degradation
PWY0-1554	5-(carboxymethoxy)uridine biosynthesis
PWY0-1561	glycerol-3-phosphate to cytochrome bo oxidase electron transfer
PWY0-1565	D-lactate to cytochrome bo oxidase electron transport
PWY0-1567	NADH to cytochrome bo oxidase electron transfer II
PWY0-1568	NADH to cytochrome bd oxidase electron transport II
PWY0-1569	autoinducer AI-2 degradation
PWY0-1576	hydrogen to fumarate electron transfer
PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer
PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer
PWY0-1581	nitrate reduction IX (dissimilatory)
PWY0-1582	glycerol-3-phosphate to fumarate electron transfer
PWY0-1584	nitrate reduction X (periplasmic, dissimilatory)
PWY0-1586	peptidoglycan maturation (meso-diaminopimelate containing)
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis
PWY0-166	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)
PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)
PWY0-321	phenylacetate degradation I (aerobic)
PWY0-381	glycerol and glycerophosphodiester degradation
PWY0-41	allantoin degradation IV (anaerobic)
PWY0-42	2-methylcitrate cycle I
PWY0-43	conversion of succinate to propanoate
PWY0-44	D-allose degradation
PWY0-461	L-lysine degradation I
PWY0-501	lipoate biosynthesis and incorporation I
PWY0-521	fructoselysine and psicoselysine degradation
PWY0-522	lipoate salvage I
PWY0-541	cyclopropane fatty acid (CFA) biosynthesis
PWY0-662	PRPP biosynthesis I
PWY0-781	aspartate superpathway
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage
PWY0-862	(5Z)-dodec-5-enoate biosynthesis
PWY0-901	L-selenocysteine biosynthesis I (bacteria)
PWY0-981	taurine degradation IV
PWY-0	putrescine degradation III
PWY-1001	cellulose biosynthesis
PWY-101	photosynthesis light reactions
PWY-102	gibberellin inactivation I (2&beta;-hydroxylation)
PWY-1042	glycolysis IV (plant cytosol)
PWY-1061	homogalacturonan biosynthesis
PWY-1081	homogalacturonan degradation
PWY-1121	suberin monomers biosynthesis
PWY-112	lupeol biosynthesis
PWY-1164	carbon disulfide oxidation I (anaerobic)
PWY-116	coniferin metabolism
PWY-1186	L-homomethionine biosynthesis
PWY-1187	glucosinolate biosynthesis from homomethionine
PWY-1263	taurine degradation I
PWY-1264	taurine degradation II
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I
PWY-1281	sulfoacetaldehyde degradation I
PWY1-2	L-alanine degradation IV
PWY-12	pentaketide chromone biosynthesis
PWY-1341	phenylacetate degradation II (anaerobic)
PWY-1361	benzoyl-CoA degradation I (aerobic)
PWY-1381	fluorene degradation II
PWY1-3	polyhydroxybutanoate biosynthesis
PWY-13	superpathway of tetrahydroxyxanthone biosynthesis
PWY-1422	vitamin E biosynthesis (tocopherols)
PWY-142	m-xylene degradation (anaerobic)
PWY-1501	mandelate degradation I
PWY-1541	superpathway of taurine degradation
PWY-1581	plastoquinol-9 biosynthesis I
PWY-1622	formaldehyde assimilation I (serine pathway)
PWY-1641	methane oxidation to methanol I
PWY-1701	methanol and methylamine oxidation to formaldehyde
PWY-1722	formate reduction to 5,10-methylenetetrahydrofolate
PWY-1723	formaldehyde oxidation V (H4MPT pathway)
PWY-1741	indole-3-acetyl-ester conjugate biosynthesis
PWY-1781	&beta;-alanine degradation II
PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis
PWY-1801	formaldehyde oxidation II (glutathione-dependent)
PWY-181	photorespiration
PWY-1822	indole-3-acetate activation I
PWY-1861	formaldehyde assimilation II (RuMP Cycle)
PWY-1881	formate oxidation to CO2
PWY-1882	superpathway of C1 compounds oxidation to CO2
PWY-1901	aurone biosynthesis
PWY-1921	indole-3-acetate activation II
PWY-1961	indole-3-acetate degradation I
PWY-1962	indole-3-acetate degradation II
PWY-1981	indole-3-acetate degradation III
PWY1A0-6325	actinorhodin biosynthesis
PWY1F-353	glycine betaine biosynthesis III (plants)
PWY1F-467	phenylpropanoid biosynthesis, initial reactions
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis
PWY1F-FLAVSYN	flavonoid biosynthesis
PWY1G-0	mycothiol biosynthesis
PWY1G-126	mycothiol oxidation
PWY1G-170	formaldehyde oxidation III (mycothiol-dependent)
PWY1G-1	mycothiol-mediated detoxification
PWY-1	lathyrine biosynthesis
PWY-2002	isoflavonoid biosynthesis I
PWY-2021	indole-3-acetate degradation IV
PWY-2055	superpathway of pterocarpan biosynthesis (via daidzein)
PWY-2083	isoflavonoid biosynthesis II
PWY-2161B	glutamate removal from folates
PWY-2161	folate polyglutamylation
PWY-2181	free phenylpropanoid acid biosynthesis
PWY-2201	folate transformations I
PWY-2221	Entner-Doudoroff pathway III (semi-phosphorylative)
PWY-2229	superpathway of pterocarpan biosynthesis (via formononetin)
PWY-2242	ammonia oxidation III
PWY-2261	ascorbate glutathione cycle
PWY-2301	myo-inositol biosynthesis
PWY-2321	formononetin biosynthesis
PWY-2343	daidzein conjugates interconversion
PWY-2345	genistein conjugates interconversion
PWY-2361	3-oxoadipate degradation
PWY-2381	4-nitrobenzoate degradation
PWY-241	C4 photosynthetic carbon assimilation cycle, NADP-ME type
PWY-2421	indole-3-acetate degradation VIII (bacterial)
PWY-2463	medicarpin biosynthesis
PWY-2464	maackiain biosynthesis
PWY-2467	pisatin biosynthesis
PWY-2501	fatty acid &alpha;-oxidation I
PWY-2503	benzoate degradation I (aerobic)
PWY-2504	superpathway of aromatic compound degradation via 3-oxoadipate
PWY-2541	plant sterol biosynthesis
PWY-2561	medicarpin conjugates interconversion
PWY-2582	brassinosteroid biosynthesis II
PWY-2601	isethionate degradation
PWY-2622	trehalose biosynthesis IV
PWY-2661	trehalose biosynthesis V
PWY-2681	trans-zeatin biosynthesis
PWY-2701	maackiain conjugates interconversion
PWY-2721	trehalose degradation III
PWY-2722	trehalose degradation IV
PWY-2723	trehalose degradation V
PWY-2724	alkane oxidation
PWY-2761	glyceollin biosynthesis I
PWY-2762	glyceollin biosynthesis II
PWY-2781	cis-zeatin biosynthesis
PWY-2821	glucosinolate biosynthesis from phenylalanine
PWY-282	cuticular wax biosynthesis
PWY-283	benzoate degradation II (aerobic and anaerobic)
PWY-2841	cytokinins degradation
PWY-2861	biochanin A conjugates interconversion
PWY-2881	cytokinins 7-N-glucoside biosynthesis
PWY-2901	cytokinins 9-N-glucoside biosynthesis
PWY-2902	cytokinin-O-glucosides biosynthesis
PWY-2904	formononetin conjugates interconversion
PWY-2921	capsidiol biosynthesis
PWY-2941	L-lysine biosynthesis II
PWY-2942	L-lysine biosynthesis III
PWY-2961	sesquiterpenoid phytoalexins biosynthesis
PWY-2981	diterpene phytoalexins precursors biosynthesis
PWY2OL-4	superpathway of linalool biosynthesis
PWY-2	putrescine degradation IV
PWY-3001	superpathway of L-isoleucine biosynthesis I
PWY-301	cyclohexane-1-carboxylate degradation (anaerobic)
